,name,geometry
0,Maria-Ward-Schule,POINT (8.2696359 49.9973163)
1,Berufsbildende Schule III,"POLYGON ((8.24502 50.0060217, 8.2453566 50.0056496, 8.2452522 50.0056106, 8.2452971 50.0055611, 8.2459207 50.0057941, 8.2460562 50.0056443, 8.2452911 50.0053584, 8.2451573 50.0055063, 8.2452437 50.0055386, 8.2451962 50.0055912, 8.2449438 50.0054969, 8.2446083 50.0058678, 8.2448516 50.0059588, 8.2448998 50.0059768, 8.24502 50.0060217))"
2,Schillerschule,"POLYGON ((8.2975962 49.9797938, 8.2977745 49.9796843, 8.298091 49.979897, 8.2981766 49.979955, 8.2979983 49.9800645, 8.2975962 49.9797938))"
3,Steinhöfelschule private Wirtschaftsschule,"POLYGON ((8.2698368 50.0081826, 8.2697149 50.0082939, 8.2695532 50.0082207, 8.269675 50.0081094, 8.2698368 50.0081826))"
4,Bertha-von-Suttner-Schule,"POLYGON ((8.272945 50.0204676, 8.2728187 50.0205869, 8.273499 50.020884, 8.2736253 50.0207647, 8.272945 50.0204676))"
5,Dr. Martin-Luther-King-Schule,"POLYGON ((8.2481809 50.0021989, 8.2481514 50.0023799, 8.2486785 50.0024154, 8.248708 50.0022344, 8.2481809 50.0021989))"
6,Astrid-Lindgren-Schule,"POLYGON ((8.2481473 50.0019893, 8.2476941 50.001957, 8.2476223 50.0023729, 8.2480755 50.0024052, 8.2481473 50.0019893))"
7,Grundschule Mainz-Lerchenberg,"POLYGON ((8.1964458 49.9590596, 8.1964627 49.9590156, 8.1965032 49.959022, 8.1965198 49.9589789, 8.1964788 49.9589724, 8.196475 49.9589824, 8.1964346 49.958976, 8.1964621 49.9589044, 8.1963157 49.9588811, 8.1962965 49.9588581, 8.1962534 49.9588258, 8.1961803 49.9588049, 8.1961297 49.9587998, 8.1961016 49.9588105, 8.1960881 49.9588238, 8.1960878 49.9588449, 8.1960723 49.9588424, 8.1960472 49.9589079, 8.1960068 49.9589015, 8.1959754 49.958983, 8.1962714 49.9590301, 8.1962613 49.9590564, 8.1963939 49.9590775, 8.1964033 49.9590528, 8.1964458 49.9590596))"
8,Marc Chagall Schule,"POLYGON ((8.1919904 49.9760984, 8.1921366 49.9760863, 8.1921847 49.9763273, 8.1920361 49.9763396, 8.1920162 49.9762398, 8.1919772 49.976243, 8.1919642 49.9761777, 8.1920055 49.9761742, 8.1919904 49.9760984))"
9,Wilhelm-Heinrich-von-Riehl-Schule,"POLYGON ((8.2440249 50.0450809, 8.2440764 50.0449109, 8.2441321 50.0449178, 8.2442781 50.0444367, 8.2442216 50.0444296, 8.2442519 50.0443298, 8.2446011 50.0443735, 8.2445839 50.04443, 8.244715 50.0444464, 8.2446343 50.0447124, 8.2443418 50.0446758, 8.2443033 50.0448027, 8.2446123 50.0448414, 8.2445494 50.0450486, 8.2442991 50.0450172, 8.2442705 50.0451116, 8.2440249 50.0450809))"
10,Martinusschule Weisenau,"POLYGON ((8.2960219 49.9772478, 8.2962975 49.9773384, 8.2966306 49.9769191, 8.296355 49.9768285, 8.2960219 49.9772478))"
11,Theodor-Heus-Grundschule,"POLYGON ((8.276933 49.9622013, 8.2769113 49.9622777, 8.276845 49.9622699, 8.2768253 49.962339, 8.2768213 49.9623532, 8.2768179 49.9623653, 8.2767537 49.9625908, 8.2766812 49.9625823, 8.276615 49.9625745, 8.2767279 49.9621771, 8.2768264 49.9621887, 8.276933 49.9622013))"
12,Theodor-Heuss-Schule,"POLYGON ((8.2752016 49.9610384, 8.2756938 49.9610834, 8.2757837 49.9606767, 8.2752915 49.9606317, 8.2752016 49.9610384))"
13,Spielhaus,"POLYGON ((8.2229219 50.0443698, 8.2228951 50.0443568, 8.2229225 50.0443335, 8.2229493 50.0443465, 8.2229219 50.0443698))"
14,IGS Mainz Hechtsheim H-Bau,"POLYGON ((8.2751817 49.9611557, 8.2751588 49.9612641, 8.2756554 49.9613075, 8.2756783 49.9611991, 8.2751817 49.9611557))"
15,IGS Mainz Hechtsheim J-Bau,"POLYGON ((8.2758066 49.9603136, 8.2758956 49.9603219, 8.2762621 49.9603561, 8.276267 49.9603344, 8.2762997 49.9601891, 8.2759518 49.9601566, 8.2759371 49.9602215, 8.2758296 49.9602115, 8.2758066 49.9603136))"
16,IGS Mainz Hechtsheim D-Bau,"POLYGON ((8.2763583 49.9604051, 8.2763464 49.9604726, 8.2764204 49.960478, 8.2764323 49.9604105, 8.2763583 49.9604051))"
17,IGS Mainz Hechtsheim D-Bau,"POLYGON ((8.2763681 49.9603782, 8.2764421 49.9603836, 8.2764538 49.9603168, 8.2763798 49.9603114, 8.2763681 49.9603782))"
18,IGS Mainz Hechtsheim: Freiluftwerkstadt,"POLYGON ((8.276336 49.9601043, 8.2764714 49.9601168, 8.2764937 49.9600173, 8.2763583 49.9600047, 8.276336 49.9601043))"
19,Theodor-Heuss-Schule,"POLYGON ((8.2743366 49.9613875, 8.275016 49.96145, 8.2750481 49.9613054, 8.2749164 49.9612933, 8.2749695 49.9610539, 8.2746733 49.9610267, 8.2746835 49.9609803, 8.2744322 49.9609572, 8.2743366 49.9613875))"
20,Berufsbildende Schule I – Gewerbe und Technik,"POLYGON ((8.2434703 50.0074425, 8.2434152 50.0075016, 8.2432834 50.0074495, 8.2431491 50.0075911, 8.2432827 50.0076433, 8.2433278 50.0076612, 8.2439451 50.007903, 8.2440794 50.0077615, 8.2439413 50.0077074, 8.2439373 50.0076904, 8.2439009 50.0076776, 8.2438757 50.0076817, 8.2435505 50.0075537, 8.2436056 50.0074946, 8.2436207 50.0075005, 8.2437999 50.0073083, 8.2439689 50.0071271, 8.2438633 50.0070864, 8.2439143 50.0070317, 8.2444724 50.0072467, 8.2445338 50.0072703, 8.2446697 50.0071246, 8.2439113 50.0068326, 8.2437754 50.0069783, 8.2438702 50.0070148, 8.2438193 50.0070694, 8.2435581 50.0069689, 8.2433637 50.0071774, 8.24321 50.0073423, 8.2434703 50.0074425))"
21,Theodor-Heuss-Grundschule Mainz,"MULTIPOLYGON (((8.2743366 49.9613875, 8.275016 49.96145, 8.2750481 49.9613054, 8.2749164 49.9612933, 8.2749695 49.9610539, 8.2746733 49.9610267, 8.2746835 49.9609803, 8.2744322 49.9609572, 8.2743366 49.9613875)), ((8.2752016 49.9610384, 8.2756938 49.9610834, 8.2757837 49.9606767, 8.2752915 49.9606317, 8.2752016 49.9610384)))"
